Statistic,Unit,Group or category,Estimate,Sampling error,Note
Average Indirect taxes - non-retired households,Dollars (tax year 2018/19),Decile 10,17770,1460,
Average Indirect taxes - non-retired households,Dollars (tax year 2018/19),All,10470,340,
Average In-kind spending - non-retired households,Dollars (tax year 2018/19),Decile 1,19530,2010,
Average In-kind spending - non-retired households,Dollars (tax year 2018/19),Decile 2,21640,2360,
Average In-kind spending - non-retired households,Dollars (tax year 2018/19),Decile 3,21560,2010,
Average In-kind spending - non-retired households,Dollars (tax year 2018/19),Decile 4,20710,1970,
Average In-kind spending - non-retired households,Dollars (tax year 2018/19),Decile 5,19750,1650,
Average In-kind spending - non-retired households,Dollars (tax year 2018/19),Decile 6,16390,1440,
Average In-kind spending - non-retired households,Dollars (tax year 2018/19),Decile 7,14500,1420,
Average In-kind spending - non-retired households,Dollars (tax year 2018/19),Decile 8,14970,1750,
Average In-kind spending - non-retired households,Dollars (tax year 2018/19),Decile 9,12700,1310,
Average In-kind spending - non-retired households,Dollars (tax year 2018/19),Decile 10,12040,1050,
Average In-kind spending - non-retired households,Dollars (tax year 2018/19),All,16970,340,
Average Net Fiscal Impact - non-retired households,Dollars (tax year 2018/19),Decile 1,29030,3590,
Average Net Fiscal Impact - non-retired households,Dollars (tax year 2018/19),Decile 2,32370,4930,
Average Net Fiscal Impact - non-retired households,Dollars (tax year 2018/19),Decile 3,23830,4150,
Average Net Fiscal Impact - non-retired households,Dollars (tax year 2018/19),Decile 4,13960,3220,NB - Sampling error is 21-50% of point estimate
Average Net Fiscal Impact - non-retired households,Dollars (tax year 2018/19),Decile 5,,,Suppressed as sampling error is more than 50% of point estimate
Average Net Fiscal Impact - non-retired households,Dollars (tax year 2018/19),Decile 6,-6200,2230,NB - Sampling error is 21-50% of point estimate
Average Net Fiscal Impact - non-retired households,Dollars (tax year 2018/19),Decile 7,-13740,2590,
Average Net Fiscal Impact - non-retired households,Dollars (tax year 2018/19),Decile 8,-24130,2700,
Average Net Fiscal Impact - non-retired households,Dollars (tax year 2018/19),Decile 9,-35250,3200,
Average Net Fiscal Impact - non-retired households,Dollars (tax year 2018/19),Decile 10,-81160,9900,
Average Net Fiscal Impact - non-retired households,Dollars (tax year 2018/19),All,-9430,1690,
Gini coefficient - retired households,Gini points,Market income,62.41,3.61,mOECD equivalised household incomes assigned to individuals
Gini coefficient - retired households,Gini points,Gross income,33.97,3.57,mOECD equivalised household incomes assigned to individuals
Gini coefficient - retired households,Gini points,Disposable income,31.64,3.45,mOECD equivalised household incomes assigned to individuals
Gini coefficient - retired households,Gini points,Post-tax income,33.93,3.73,mOECD equivalised household incomes assigned to individuals
Gini coefficient - retired households,Gini points,Final income,26.18,3.23,mOECD equivalised household incomes assigned to individuals
Gini coefficient - non-retired households,Gini points,Market income,42.13,1.78,mOECD equivalised household incomes assigned to individuals
Gini coefficient - non-retired households,Gini points,Gross income,35.7,1.74,mOECD equivalised household incomes assigned to individuals
Gini coefficient - non-retired households,Gini points,Disposable income,33.08,1.63,mOECD equivalised household incomes assigned to individuals
Gini coefficient - non-retired households,Gini points,Post-tax income,34.7,1.73,mOECD equivalised household incomes assigned to individuals
Gini coefficient - non-retired households,Gini points,Final income,28.28,1.6,mOECD equivalised household incomes assigned to individuals
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),ACC earners' levy,1983000000,45000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Accommodation Supplement,1437000000,126000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Alcohol excise,545000000,37000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Best Start tax credit,154000000,25000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Early childhood education,1472000000,111000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Family tax credit,2198000000,132000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),GST,12974000000,387000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Health,11325000000,155000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Income-Related Rent Subsidy,652000000,128000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),In-work tax credit,677000000,52000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Jobseeker Support,1627000000,84000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Minimum family tax credit,,,Suppressed as sampling error is more than 50% of point estimate
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),NZ Super and Vets,13338000000,186000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Paid parental leave,346000000,77000000,NB - Sampling error is 21-50% of point estimate
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Personal income tax,42195000000,2061000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Petrol excise,765000000,39000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Primary education,3287000000,80000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Secondary education,2449000000,155000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Sole Parent Support,1070000000,31000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Student allowance,458000000,109000000,NB - Sampling error is 21-50% of point estimate
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Student loan,571000000,53000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Supported Living Payment,1488000000,52000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Tertiary education,4013000000,374000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Tobacco excise,370000000,48000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Winter Energy Payment,426000000,5000000,
Unscaled total - TAWA (HES Expenditure),Dollars (tax year 2018/19),Youth/Young Parent Payment,,,Suppressed due to small sample count
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),ACC earners' levy,1998000000,20000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Accommodation Supplement,1422000000,54000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Alcohol excise,,,Not available when using HES income survey
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Best Start tax credit,156000000,12000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Early childhood education,1426000000,53000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Family tax credit,2160000000,64000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),GST,,,Not available when using HES income survey
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Health,11403000000,66000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Income-Related Rent Subsidy,639000000,62000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),In-work tax credit,648000000,27000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Jobseeker Support,1601000000,27000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Minimum family tax credit,22000000,6000000,NB - Sampling error is 21-50% of point estimate
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),NZ Super and Vets,13277000000,108000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Paid parental leave,375000000,35000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Personal income tax,42562000000,986000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Petrol excise,,,Not available when using HES income survey
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Primary education,3274000000,35000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Secondary education,2387000000,73000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Sole Parent Support,1064000000,18000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Student allowance,536000000,51000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Student loan,571000000,26000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Supported Living Payment,1513000000,24000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Tertiary education,4114000000,182000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Tobacco excise,,,Not available when using HES income survey
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Winter Energy Payment,424000000,3000000,
Unscaled total - TAWA (HES Income),Dollars (tax year 2018/19),Youth/Young Parent Payment,75000000,22000000,NB - Sampling error is 21-50% of point estimate
Redistributive effect,Gini points,Income support,9.73,0.44,mOECD equivalised household incomes assigned to individuals
Redistributive effect,Gini points,Direct taxes,2.69,0.24,mOECD equivalised household incomes assigned to individuals
Redistributive effect,Gini points,Indirect taxes,-1.73,0.21,mOECD equivalised household incomes assigned to individuals
Redistributive effect,Gini points,In-kind benefits,6.78,0.29,mOECD equivalised household incomes assigned to individuals
Kakwani progressivity index,Gini points,Income support,90.72,2.44,mOECD equivalised household incomes assigned to individuals
Kakwani progressivity index,Gini points,Direct taxes,11.99,0.81,mOECD equivalised household incomes assigned to individuals
Kakwani progressivity index,Gini points,Indirect taxes,-13.3,1.85,mOECD equivalised household incomes assigned to individuals
Kakwani progressivity index,Gini points,In-kind benefits,43.95,1.95,mOECD equivalised household incomes assigned to individuals
Average rate,Percent,Income support,13.14,0.61,mOECD equivalised household incomes assigned to individuals
Average rate,Percent,Direct taxes,18.75,0.38,mOECD equivalised household incomes assigned to individuals
Average rate,Percent,Indirect taxes,9.78,0.28,mOECD equivalised household incomes assigned to individuals
Average rate,Percent,In-kind benefits,20.21,0.79,mOECD equivalised household incomes assigned to individuals
Reranking index,Gini points,Income support,0.81,0.064,mOECD equivalised household incomes assigned to individuals
Reranking index,Gini points,Direct taxes,0.08,0.006,mOECD equivalised household incomes assigned to individuals
Reranking index,Gini points,Indirect taxes,0.29,0.054,mOECD equivalised household incomes assigned to individuals
Reranking index,Gini points,In-kind benefits,0.61,0.049,mOECD equivalised household incomes assigned to individuals
Gini coefficient 1987/88,Gini points,Market income,42.4,,Unequivalised household incomes assigned to individuals
Gini coefficient 1987/88,Gini points,Disposable income,30.2,,Unequivalised household incomes assigned to individuals
Gini coefficient 1987/88,Gini points,Final income,27.2,,Unequivalised household incomes assigned to individuals
Gini coefficient 1997/98,Gini points,Market income,48.5,,Unequivalised household incomes assigned to individuals
Gini coefficient 1997/98,Gini points,Disposable income,35.2,,Unequivalised household incomes assigned to individuals
Gini coefficient 1997/98,Gini points,Final income,29.5,,Unequivalised household incomes assigned to individuals
Gini coefficient 2006/07,Gini points,Market income,48.99,,Unequivalised household incomes assigned to individuals
Gini coefficient 2006/07,Gini points,Disposable income,34.59,,Unequivalised household incomes assigned to individuals
Gini coefficient 2006/07,Gini points,Final income,29.89,,Unequivalised household incomes assigned to individuals
Gini coefficient 2009/10,Gini points,Market income,47.29,,Unequivalised household incomes assigned to individuals
Gini coefficient 2009/10,Gini points,Disposable income,32.38,,Unequivalised household incomes assigned to individuals
Gini coefficient 2009/10,Gini points,Final income,28.45,,Unequivalised household incomes assigned to individuals
Gini coefficient 2018/19,Gini points,Market income,46.01,1.63,Unequivalised household incomes assigned to individuals
Gini coefficient 2018/19,Gini points,Disposable income,35.47,1.51,Unequivalised household incomes assigned to individuals
Gini coefficient 2018/19,Gini points,Final income,32.23,1.43,Unequivalised household incomes assigned to individuals
